time_s,Ecell_V,I_mA,QDischarge_mA_h,soc,Temperature__C
426745,4.067058741,-2250.434965,113.9475524,0.975501839,40.577
426746,4.066958759,-2249.911311,114.5886887,0.975363997,40.577
426747,4.0668587,-2249.5413,115.2478,0.975222292,40.309376
426748,4.066758741,-2249.847552,115.8475524,0.975093348,39.929
426749,4.066658841,-2250.323477,116.4881119,0.974955631,39.929
426750,4.066517635,-2250.788277,117.1470942,0.974813953,39.98583166
426751,4.066441259,-2251.406294,117.7475524,0.974684857,40.067
426752,4.066458759,-2250.957658,118.3474474,0.974555883,40.067
426753,4.0663587,-2249.6935,118.9891,0.974417931,40.226418
426754,4.0662587,-2249.3587,119.6478,0.974276314,40.453
426755,4.0662,-2249.753846,120.2475524,0.97414737,40.14974825
426756,4.066117518,-2249.905105,120.8474474,0.974018395,39.718
426757,4.065958782,-2249.447305,121.488523,0.973880567,39.718
426758,4.065858818,-2249.758818,122.1470942,0.973738978,40.05487174
426759,4.065758741,-2249.617483,122.7475524,0.973609882,40.536
426760,4.065617518,-2249.994895,123.3474474,0.973480908,40.536
426761,4.065458741,-2250.081119,123.9888112,0.973343018,40.35652448
426762,4.0653176,-2249.3648,124.6472,0.973201467,40.101
426763,4.0651588,-2249.6412,125.2472,0.97307247,40.101
426764,4.0651,-2249.7,125.8472,0.972943473,40.036728
426765,4.065017518,-2249.988689,126.4886887,0.972805556,39.945
426766,4.0649,-2250.2761,127.1478,0.972663851,39.945
426767,4.064858741,-2249.687413,127.7475524,0.972534907,40.21648252
426768,4.064758759,-2249.75986,128.3474474,0.972405932,40.603
426769,4.064658741,-2250.576224,128.9888112,0.972268042,40.603
426770,4.0646,-2250.4,129.6474474,0.972126439,40.27224525
426771,4.0646,-2249.987413,130.2475524,0.971997419,39.801
426772,4.064558759,-2249.07007,130.8474474,0.971868445,39.801
426773,4.064458741,-2249.383916,131.4475524,0.971739425,40.03122378
426774,4.0643588,-2250.294,132.0884,0.971601646,40.359
426775,4.0642588,-2250.0824,132.7472,0.971460007,40.307912
426776,4.0641588,-2249.9528,133.3472,0.97133101,40.235
426777,4.064058759,-2249.847447,133.9886887,0.971193093,40.235
426778,4.0639587,-2250.1587,134.6478,0.971051388,40.085494
426779,4.063776224,-2250.347552,135.2475524,0.970922444,39.873
426780,4.0635588,-2250.5764,135.8472,0.970793522,39.873
426781,4.0634588,-2250.5236,136.4884,0.970655668,40.170464
426782,4.0633588,-2249.9996,137.1472,0.970514029,40.595
426783,4.0631764,-2249.618,137.7472,0.970385032,40.595
426784,4.0630824,-2250.0468,138.3472,0.970256035,40.253864
426785,4.0631588,-2249.2352,138.9472,0.970127038,39.767
426786,4.0630588,-2249.4532,139.5884,0.969989183,39.767
426787,4.0629588,-2250.0176,140.2472,0.969847544,40.100308
426788,4.0629,-2250.3944,140.8472,0.969718547,40.576
426789,4.0629,-2250.9764,141.4884,0.969580692,40.576
426790,4.062858759,-2250.428829,142.1474474,0.969439,40.31782983
426791,4.062758741,-2249.941259,142.7475524,0.969309981,39.95
426792,4.062658759,-2249.505105,143.3474474,0.969181006,40.07083684
426793,4.062558741,-2248.965035,143.9888112,0.969043116,40.243
426794,4.0624588,-2249.406,144.6472,0.968901566,40.243
426795,4.0624,-2249.906,145.2472,0.968772569,40.272664
426796,4.0623176,-2249.8292,145.8472,0.968643572,40.315
426797,4.0621588,-2249.3412,146.4884,0.968505717,40.315
426798,4.062017518,-2249.853654,147.1474474,0.968364025,40.15415916
426799,4.061858782,-2250.788523,147.7473054,0.968235059,39.925
426800,4.061676577,-2250.912012,148.3468468,0.96810616,39.925
426801,4.0615824,-2250.3764,148.9884,0.967968229,40.207632
426802,4.061617682,-2250.076523,149.646953,0.967826644,40.611
426803,4.0615,-2249.982282,150.2468468,0.967697669,40.611
426804,4.0614176,-2250.1412,150.8472,0.967568597,40.263684
426805,4.0613,-2250.2824,151.4884,0.967430742,39.768
